Ectopic_Pregnancy	Ectopic Pregnancy (PEDS)	Abnormal_Pregnancy
Spinal_Cord_Infarction	Infarction of Spinal Cord (NRNT)	Nervous_System_Disorder
Central_Nervous_System_Infectious_Disorder	Infectious Disease of Central Nervous System (NRNT)	Nervous_System_Disorder
Brachial_Plexopathy	Injury of Brachial Plexus (NRNT)	Nervous_System_Disorder
Paralysis	Paralytic Syndrome (NRNT)	Nervous_System_Disorder
Sleep_Disorder	Sleep Disorder (PEDS+NRNT)	Nervous_System_Disorder
Speech_Manifestations	Speech Disorder (PEDS)	Nervous_System_Disorder
Spinal_Cord_Injury	Spinal Cord Injury (NRNT)	Nervous_System_Disorder
Neuroglial_Tumor	Glioma (NRNT)	Nervous_System_Neoplasm
Medulloblastoma	Medulloblastoma (NRNT)	Nervous_System_Neoplasm
Craniorachischisis	Craniorachischisis (NRNT)	Neural_Tube_Defect
Encephalocele	Encephalocele (PEDS+NRNT)	Neural_Tube_Defect
Spina_Bifida	Spina Bifida (NRNT)	Neural_Tube_Defect
Canavan_Disease	Spongy Degeneration of Central Nervous System (NRNT)	Neurodegenerative_Disorder
Brain_Developmental_Abnormality	Brain Development Abnormality (PEDS)	Neurodevelopmental_Disorder
Developmental_Coordination_Disorder	Developmental coordination disorder (PEDS)	Neurodevelopmental_Disorder
Cognitive_Assessment	Cognitive Assessment (PEDS)	Neurologic_Examination
Neurological_Screening	Neurological Screening (PEDS+NRNT)	Neurologic_Examination
Hearing_Loss	Hearing Loss (PEDS)	Neurosensory_Disorder
Vision_Disorder	Vision Disorder (PEDS+NRNT)	Neurosensory_Disorder
Full_Term_Neonate	Full Term Neonate (PEDS)	Newborn
Preterm_Newborn_Infant	Preterm Newborn Infant (PEDS)	Newborn
Sick_Newborn	Sick Newborn (PEDS)	Newborn
Bayley_Scale_of_Infant_Development_II	Bayley Scale of Infant Development II (NRNT)	Newborn_Behavioral_Examination
Bayley_Scale_of_Infant_Development_III	Bayley Scale of Infant Development III (NRNT)	Newborn_Behavioral_Examination
Bayley_Scales_of_Infant_Development	Bayley Scales of Infant Development (PEDS+NRNT)	Newborn_Behavioral_Examination
Behavioral_Rating_Scale	Behavioral Rating Scale (PEDS+NRNT)	Newborn_Behavioral_Examination
Brazelton_Neonatal_Behavioral_Assessment_Scale	Brazelton Neonatal Behavioral Assessment Scale (PEDS)	Newborn_Behavioral_Examination
Gesell_Developmental_Schedule	Gesell Developmental Schedule (PEDS+NRNT)	Newborn_Behavioral_Examination
Mental_Development_Index	Mental Development Index (PEDS+NRNT)	Newborn_Behavioral_Examination
Mental_Scale	Mental Scale (PEDS+NRNT)	Newborn_Behavioral_Examination
APGAR_Test	APGAR Test (PEDS)	Newborn_Examination
Arm_Recoil_Measurement	Arm Recoil Measurement (PEDS+NRNT)	Newborn_Examination
Audiometric_Test	Audiometric Test (PEDS)	Newborn_Examination
Barlow_s_Maneuver	Barlow's Maneuver (PEDS)	Newborn_Examination
Denver_Development_Screening_Test	Denver Development Screening Test (PEDS)	Newborn_Examination
Galeazzi_Test	Galeazzi Test (PEDS)	Newborn_Examination
Heel_to_Ear_Measurement	Heel to Ear Measurement (PEDS)	Newborn_Examination
Palmar_Crease_Examination	Inspection of palm crease (PEDS)	Newborn_Examination
Neonatal_Abstinence_Syndrome_Assessment	Neonatal Abstinence Syndrome Assessment (PEDS+NRNT)	Newborn_Examination
Neuromuscular_Maturity_Assessment	Neuromuscular Maturity Assessment (PEDS+NRNT)	Newborn_Examination
Newborn_Behavioral_Examination	Newborn Behavioral Examination (PEDS+NRNT)	Newborn_Examination
Newborn_Screening	Newborn Screening (PEDS)	Newborn_Examination
Ortolani_Maneuver	Ortolani Maneuver (PEDS)	Newborn_Examination
Physical_Maturity_Assessment	Physical Maturity Assessment (PEDS)	Newborn_Examination
Popliteal_Angle_Measurement	Popliteal Angle Measurement (PEDS+NRNT)	Newborn_Examination
Red_Reflex_Vision_Test	Red Reflex Vision Test (PEDS+NRNT)	Newborn_Examination
Scarf_Sign	Scarf Sign (PEDS)	Newborn_Examination
Square_Window_Measurement	Square Window (PEDS)	Newborn_Examination
Anatomic_Structure_System_or_Substance	Anatomic Structure or System (PEDS)	NICHD
Device	Device (PEDS)	NICHD
Diseases_and_Disorders	Disease or Disorder (PEDS+NRNT)	NICHD
Finding	Finding (PEDS+NRNT)	NICHD
Healthcare_Activity	Healthcare Activity (PEDS)	NICHD
Organisms	Organism (PEDS)	NICHD
Organismal_Process	Organismal Process (PEDS)	NICHD
Person	Person (PEDS)	NICHD
Properties_or_Attributes	Property or Attribute (PEDS)	NICHD
Substance	Substance (PEDS)	NICHD
Cephalhematoma	Cephalhematoma (PEDS+NRNT)	Non-Neoplastic_Fetal_Disorder
Fetal_Alcohol_Spectrum_Disorder	Fetal Alcohol Spectrum Disorder (PEDS+NRNT)	Non-Neoplastic_Fetal_Disorder
Fetal_Methotrexate_Syndrome	Fetal Methotrexate Syndrome (NRNT)	Non-Neoplastic_Fetal_Disorder
Fetal_Tachycardia	Fetal Tachycardia (PEDS+NRNT)	Non-Neoplastic_Fetal_Disorder
Fetal_Valproate_Syndrome	Fetal Valproate Syndrome (NRNT)	Non-Neoplastic_Fetal_Disorder
Fetal_Warfarin_Syndrome	Fetal Warfarin Syndrome (NRNT)	Non-Neoplastic_Fetal_Disorder
Hydrops_Fetalis	Hemoglobin Bart's Hydrops Syndrome (NRNT)	Non-Neoplastic_Fetal_Disorder
Fetal_Growth_Retardation	Intrauterine Growth Retardation (PEDS)	Non-Neoplastic_Fetal_Disorder
Lithium_Induced_Birth_Defect	Lithium-Induced Birth Defects (NRNT)	Non-Neoplastic_Fetal_Disorder
Oligohydramnios	Oligohydramnios (PEDS)	Non-Neoplastic_Fetal_Disorder
Fetal_Retinoid_Syndrome	Retinoic Acid Embryopathy (NRNT)	Non-Neoplastic_Fetal_Disorder
Thalidomide-Induced_Birth_Defect	Thalidomide Embryopathy Syndrome (NRNT)	Non-Neoplastic_Fetal_Disorder
Hemolytic_Disease_of_the_Newborn	Hemolytic Disease of the Newborn (PEDS)	Non-Neoplastic_Neonatal_Disorder
Intraventricular_Hemorrhage_of_the_Newborn_Grade_1	Intraventricular (Nontraumatic) Hemorrhage, Grade 1, of Fetus and Newborn (NRNT)	Non-Neoplastic_Neonatal_Disorder
Intraventricular_Hemorrhage_of_the_Newborn_Grade_2	Intraventricular (Nontraumatic) Hemorrhage, Grade 2, of Fetus and Newborn (NRNT)	Non-Neoplastic_Neonatal_Disorder
Intraventricular_Hemorrhage_of_the_Newborn_Grade_3	Intraventricular (Nontraumatic) Hemorrhage, Grade 3, of Fetus and Newborn (NRNT)	Non-Neoplastic_Neonatal_Disorder
Neonatal_Hepatitis	Neonatal Hepatitis (NRNT)	Non-Neoplastic_Neonatal_Disorder
Neonatal_Hyperbilirubinemia	Neonatal Hyperbilirubinemia (NRNT)	Non-Neoplastic_Neonatal_Disorder
Neonatal_Hypoglycemia	Neonatal Hypoglycemia (NRNT)	Non-Neoplastic_Neonatal_Disorder
Neonatal_Infectious_Disorder	Neonatal Infectious Disorder (NRNT)	Non-Neoplastic_Neonatal_Disorder
Neonatal_Jaundice	Neonatal Jaundice (NRNT)	Non-Neoplastic_Neonatal_Disorder
Breast_Milk_Jaundice	Neonatal Jaundice due to Delayed Conjugation From Breast Milk Inhibitors (NRNT)	Non-Neoplastic_Neonatal_Disorder
Neonatal_Lupus_Erythematosus	Neonatal Lupus Erythematosus (NRNT)	Non-Neoplastic_Neonatal_Disorder
Neonatal_Respiratory_System_Disorder	Neonatal Respiratory System Disorder (NRNT)	Non-Neoplastic_Neonatal_Disorder
Neonatal_Rickets	Neonatal Rickets (NRNT)	Non-Neoplastic_Neonatal_Disorder
Retrolental_Fibroplasia	Retinopathy of Prematurity (PEDS+NRNT)	Non-Neoplastic_Neonatal_Disorder
Infant_of_Diabetic_Mother	Syndrome of Infant of Diabetic Mother (NRNT)	Non-Neoplastic_Neonatal_Disorder
Transient_Neonatal_Thrombocytopenia	Transient Neonatal Thrombocytopenia (NRNT)	Non-Neoplastic_Neonatal_Disorder
Transient_Tachypnea_of_the_Newborn	Transitory Tachypnea of Newborn (NRNT)	Non-Neoplastic_Neonatal_Disorder
Cerebral_Palsy	Cerebral Palsy (PEDS)	Non-Neoplastic_Pediatric_Disorder
Pediatric_Psychiatric_Disorder	Childhood Mental Disorder (PEDS)	Non-Neoplastic_Pediatric_Disorder
Pediatric_Obesity	Childhood Obesity (PEDS)	Non-Neoplastic_Pediatric_Disorder
Pediatric_Viral_Infection	Childhood Viral Disease (PEDS)	Non-Neoplastic_Pediatric_Disorder
Congenital_Abnormality	Congenital Abnormality (PEDS+NRNT)	Non-Neoplastic_Pediatric_Disorder
Developmental_Disorder	Developmental Disorder (PEDS+NRNT)	Non-Neoplastic_Pediatric_Disorder
Non-Neoplastic_Fetal_Disorder	Fetal Disorder (NRNT)	Non-Neoplastic_Pediatric_Disorder
Maternal_Transmission	Fetus or Newborn Affected By Maternal Transmission of Substance (NRNT)	Non-Neoplastic_Pediatric_Disorder
Non-Neoplastic_Neonatal_Disorder	Neonatal Disorder (NRNT)	Non-Neoplastic_Pediatric_Disorder
Perinatal_Disorder	Perinatal Disorder (NRNT)	Non-Neoplastic_Pediatric_Disorder
Multiple_Pregnancy	Multiple Pregnancy (PEDS)	Normal_Pregnancy
Teenage_Pregnancy	Teenage Pregnancy (PEDS)	Normal_Pregnancy
Apgar_Score	APGAR Score (PEDS+NRNT)	Numeric_Value
Dubowitz_Score	Ballard/Dubowitz Score (PEDS+NRNT)	Numeric_Value
Breathing_Effort_Score	Breathing Effort Score (PEDS+NRNT)	Numeric_Value
Heart_Rate	Heart Rate (PEDS+NRNT)	Numeric_Value
Heart_Rate_Score	Heart Rate Score (PEDS+NRNT)	Numeric_Value
Muscle_Tone_Score	Muscle Tone Score (PEDS+NRNT)	Numeric_Value
Newborn_Blood_Pressure	Newborn Blood Pressure (PEDS)	Numeric_Value
Newborn_Motor_Scale	Newborn Motor Scale (PEDS+NRNT)	Numeric_Value
Pulse_Rate	Pulse Rate (PEDS+NRNT)	Numeric_Value
Reflex_Irritability_Score	Reflex Irritability Score (PEDS+NRNT)	Numeric_Value
Respiratory_Rate	Respiratory Rate (PEDS+NRNT)	Numeric_Value
Skin_Color_Score	Skin Color Score (PEDS+NRNT)	Numeric_Value
Goiter	Goiter (PEDS)	Nutritional_Disorder
Maternal_Obesity	Maternal Obesity (PEDS)	Nutritional_Disorder
Rickets	Rickets (NRNT)	Nutritional_Disorder
Vitamin_Deficiency_Disorder	Vitamin Deficiency (NRNT)	Nutritional_Disorder
Cause_of_Death	Cause of Death (PEDS)	Observation_Result
Clinical_Test_Result	Clinical Test Result (PEDS+NRNT)	Observation_Result
Developmental_Milestone	Developmental Milestones (PEDS)	Observation_Result
Diagnosis	Diagnosis (PEDS)	Observation_Result
Fetal_Finding	Fetal Finding (PEDS+NRNT)	Observation_Result
Finding_during_Childbirth_Labor	Finding during Childbirth Labor (PEDS)	Observation_Result
Head_Circumference	Head Circumference (PEDS+NRNT)	Observation_Result
Amnioinfusion	Amnioinfusion (PEDS)	Obstetric_Procedure
Assisted_Labor	Assisted Labor (PEDS)	Obstetric_Procedure
Method_of_Conception	Conception Method (PEDS)	Obstetric_Procedure
Birth_Method_of_Delivery	Delivery Procedure (PEDS)	Obstetric_Procedure
Therapeutic_Abortion_Procedure	Therapeutic Abortion (PEDS)	Obstetric_Procedure
Bilateral_Optic_Nerve_Hypoplasia	Hypoplasia of the Optic Nerve, Bilateral (NRNT)	Optic_Nerve_Hypoplasia
Unilateral_Optic_Nerve_Hypoplasia	Hypoplasia of the Optic Nerve, Unilateral (NRNT)	Optic_Nerve_Hypoplasia
Septo-Optic_Dysplasia	Septo-Optic Dysplasia Sequence (NRNT)	Optic_Nerve_Hypoplasia
Beta-Ketothiolase_Deficiency	Beta-Ketothiolase Deficiency (NRNT)	Organic_Acid_Metabolism_Disorder
Isovaleric_Acidemia	Isovaleryl-Coa Dehydrogenase Deficiency (NRNT)	Organic_Acid_Metabolism_Disorder
Propionic_Acidemia	Propionic Acidemia (NRNT)	Organic_Acid_Metabolism_Disorder
Behavior	Behavior (PEDS)	Organismal_Process
Breast_Feeding	Breast Feeding (PEDS)	Organismal_Process
Development	Maturation (PEDS)	Organismal_Process
Menopause	Menopause (PEDS)	Organismal_Process
Nutrition	Nutrition (PEDS)	Organismal_Process
Reproductive_Process	Reproductive Process (PEDS)	Organismal_Process
Sleep	Sleep (PEDS)	Organismal_Process
Bacteria	Bacteria (PEDS)	Organisms
Virus	Virus (PEDS)	Organisms
Achondroplasia	Achondroplasia (NRNT)	Osteochondrodysplasia
Campomelic_Dysplasia	Camptomelic Dysplasia (NRNT)	Osteochondrodysplasia
Chondrodysplasia_Punctata	Chondrodysplasia Punctata (Stippled Epiphyses) Group (NRNT)	Osteochondrodysplasia
Clubfoot	Clubfoot (PEDS+NRNT)	Osteochondrodysplasia
Radial_Hypoplasia	Congenital Hypoplasia of Radius (NRNT)	Osteochondrodysplasia
Osteogenesis_Imperfecta_Type_I	Osteogenesis Imperfecta Type I (NRNT)	Osteogenesis_Imperfecta
Osteogenesis_Imperfecta_Type_II	Osteogenesis Imperfecta Type II (NRNT)	Osteogenesis_Imperfecta
Osteogenesis_Imperfecta_Type_III	Osteogenesis Imperfecta Type III (NRNT)	Osteogenesis_Imperfecta
Osteogenesis_Imperfecta_Tye_IV	Osteogenesis Imperfecta Type IV (NRNT)	Osteogenesis_Imperfecta
Pulse_Oximetry	Pulse Oximetry (NRNT)	Oxygen_Saturation
Brachial_Plexus_Injury_due_to_Birth_Trauma	Brachial Plexus Palsy due to Birth Trauma (NRNT)	Paralysis
Malaria	Malaria (PEDS)	Parasitic_Infection
Toxoplasmosis	Toxoplasmosis (PEDS)	Parasitic_Infection
Intramuscular_Injection	Intramuscular Route of Administration (PEDS)	Parenteral_Route_of_Drug_Administration
Intravenous_Route_of_Drug_Administration	Intravenous Route of Administration (PEDS)	Parenteral_Route_of_Drug_Administration
Subcutaneous_Route_of_Drug_Administration	Subcutaneous Route of Administration (PEDS)	Parenteral_Route_of_Drug_Administration
Birth	Birth (PEDS)	Parturition
Intrapartum_Process	Intrapartum Process (PEDS)	Parturition
Postpartum_Process	Postpartum Process (PEDS)	Parturition
Vaginal_Birth_Mechanism	Vaginal Birth Mechanism (PEDS)	Parturition
Assessment_of_Fetal_Condition	Assessment of Fetal Condition (PEDS)	Pediatric_Intervention_or_Procedure
Fetal_Examination	Fetal Examination (PEDS)	Pediatric_Intervention_or_Procedure
Gestational_Weeks	Gestational Weeks Assessment (PEDS)	Pediatric_Intervention_or_Procedure
Newborn_Examination	Newborn Examination (PEDS)	Pediatric_Intervention_or_Procedure
Childhood_Depression	Childhood Depression (PEDS)	Pediatric_Psychiatric_Disorder
Childhood_Schizophrenia	Childhood Schizophrenia (PEDS)	Pediatric_Psychiatric_Disorder
Developmental_Coordination_Disorder	Developmental coordination disorder (PEDS)	Pediatric_Psychiatric_Disorder
Language_Disorder	Language Disorder (PEDS)	Pediatric_Psychiatric_Disorder
Learning_Disorder	Learning Disorder (PEDS)	Pediatric_Psychiatric_Disorder
Mental_Retardation	Mental Retardation (PEDS)	Pediatric_Psychiatric_Disorder
Separation_Anxiety_Disorder	Separation Anxiety Disorder (PEDS)	Pediatric_Psychiatric_Disorder
Chickenpox	Chicken Pox (PEDS)	Pediatric_Viral_Infection
Rubeola_Infection	Measles (PEDS)	Pediatric_Viral_Infection
Mumps	Mumps (PEDS)	Pediatric_Viral_Infection
Acute_Poliomyelitis	Poliomyelitis (PEDS)	Pediatric_Viral_Infection
Perinatal Aspiration of Blood (NRNT)	Perinatal Aspiration of Blood (NRNT)	Perinatal_Disorder
Perinatal Cyanotic Attacks (NRNT)	Perinatal Cyanotic Attacks (NRNT)	Perinatal_Disorder
Perinatal Death (PEDS)	Perinatal Death (PEDS)	Perinatal_Disorder
Perinatal Disorder (NRNT)	Perinatal Disorder (NRNT)	Perinatal_Disorder
Perinatal Drug Withdrawal (NRNT)	Perinatal Drug Withdrawal (NRNT)	Perinatal_Disorder
Perinatal Intracranial Hemorrhage (NRNT)	Perinatal Intracranial Hemorrhage (NRNT)	Perinatal_Disorder
Perinatal Intraventricular Hemorrhage (NRNT)	Perinatal Intraventricular Hemorrhage (NRNT)	Perinatal_Disorder
Perinatal Jaundice due to Inspissated Bile Syndrome (NRNT)	Perinatal Jaundice due to Inspissated Bile Syndrome (NRNT)	Perinatal_Disorder
Perinatal Respiratory Distress (NRNT)	Perinatal Respiratory Distress (NRNT)	Perinatal_Disorder
Perinatal_Subependymal_Hemorrhage_with_Intraventricular_and_Intracerebral_Extension_(NRNT)	Perinatal Subependymal Hemorrhage with Intraventricular and Intracerebral Extension (NRNT)	Perinatal_Intraventricular_Hemorrhage
Neuropathy	Neuropathy (NRNT)	Peripheral_Nervous_System_Disorder
Cystic_Periventricular_Leukomalacia	Cystic Periventricular Leukomalacia (NRNT)	Periventricular_Leukomalacia
Attending_Health_Care_Provider	Attending Health Care Provider (PEDS)	Person
Child_Offspring	Child (PEDS)	Person
Maiden_Name	Maiden Name (PEDS)	Personal_Information
Name	Person Name (PEDS)	Personal_Information
Personal_Medical_History	Personal Medical History (PEDS)	Personal_Information
Telephone_Number	Telephone Number (PEDS)	Personal_Information
Alcohol_Use_History	Alcohol Use History (PEDS)	Personal_Medical_History
Doctor_s_Information	Doctor's Information (PEDS)	Personal_Medical_History
Drug_Use_History	Drug Use History (PEDS)	Personal_Medical_History
Image_Identifier	Image Identifier (PEDS)	Personal_Medical_History
Imaging_Information	Imaging Information (PEDS)	Personal_Medical_History
Medical_Record_Number	Medical Record Number (PEDS)	Personal_Medical_History
Smoking_History	Smoking History (PEDS)	Personal_Medical_History
Social_History	Social History (PEDS)	Personal_Medical_History
Autism_Spectrum_Disorder	Autism Spectrum Disorder (PEDS)	Pervasive_Developmental_Disorder
Childhood_Disintegrative_Disorder	Childhood Disintegrative Disorder (PEDS)	Pervasive_Developmental_Disorder
Rett_Syndrome	Rett Syndrome (PEDS)	Pervasive_Developmental_Disorder
Neurofibromatosis	Neurofibromatosis Syndrome (NRNT)	Phakomatosis
Sturge-Weber_Syndrome	Sturge-Weber Syndrome (NRNT)	Phakomatosis
Tuberous_Sclerosis	Tuberous Sclerosis Syndrome (NRNT)	Phakomatosis
Biological_Agent	Biologic Agent (PEDS)	Pharmacologic_Substance
Chylothorax	Chylothorax (NRNT)	Pleural_Effusion
Pneumococcal_10-valent_Conjugate_Vaccine	Pneumococcal 10-valent Conjugate Vaccine (PEDS)	Pneumococcal_Conjugate_Vaccine
Pneumococcal_13-valent_Conjugate_Vaccine	Pneumococcal 13-valent Conjugate Vaccine (PEDS)	Pneumococcal_Conjugate_Vaccine
Pneumococcal_7-Valent_Conjugate_Vaccine	Pneumococcal 7-Valent Conjugate Vaccine (PEDS)	Pneumococcal_Conjugate_Vaccine
Autosomal_Recessive_Polycystic_Kidney_Disease	Polycystic Kidney Disease, Infantile Type (NRNT)	Polycystic_Kidney_Disease
Conjugate_Vaccine	Conjugate Vaccine (PEDS)	Polysaccharide_Vaccine
Meningococcal_Polysaccharide_Vaccine_MPSV-4	Meningococcal Polysaccharide Vaccine MPSV-4 (PEDS)	Polysaccharide_Vaccine
Pneumococcal_Polyvalent_Vaccine	Pneumococcal 23-valent Polysaccharide Vaccine (PEDS)	Polysaccharide_Vaccine
Vi_Capsular_Polysaccharide_Typhoid_Vaccine	Vi Capsular Polysaccharide Typhoid Vaccine (PEDS)	Polysaccharide_Vaccine
Diphtheria_Toxoid_Tetanus_Toxoid_Acellular_Pertussis_Vaccine_Adsorbed	Diphtheria Toxoid/Tetanus Toxoid/Acellular Pertussis Vaccine (PEDS)	Polyvalent_Vaccine
Diphtheria_Toxoid_Tetanus_Toxoid_Inactivated_Pertussis_Vaccine	Diphtheria Toxoid/Tetanus Toxoid/Inactivated Pertussis Vaccine DTP (PEDS)	Polyvalent_Vaccine
Trivalent_Influenza_Vaccine	Trivalent Influenza Vaccine (PEDS)	Polyvalent_Vaccine
Breast_Engorgement	Breast Engorgement (PEDS)	Postpartum_Process
Delivery_of_Placenta	Delivery of Placenta (PEDS)	Postpartum_Process
Placental_Duncan_Mechanism	Duncan Mechanism (PEDS)	Postpartum_Process
Lochia	Lochial Flow (PEDS)	Postpartum_Process
Postpartum_Placental_Separation	Placental Separation (PEDS)	Postpartum_Process
Post-Partum_Recovery	Post-Partum Recovery (PEDS)	Postpartum_Process
Uterine_Involution	Uterine Involution (PEDS)	Postpartum_Process
Early_Post-Partum_Recovery	Early Post-Partum Recovery (PEDS)	Post-Partum_Recovery
HELLP_Syndrome	HELLP Syndrome (PEDS+NRNT)	Preeclampsia
Preeclampsia	Preeclampsia (PEDS)	Pregnancy_Associated_Hypertension
Diabetes_in_Pregnancy	Gestational Diabetes (PEDS)	Pregnancy_Complication
Hyperemesis_Gravidarum	Hyperemesis Gravidarum (PEDS)	Pregnancy_Complication
Fetal_Growth_Retardation	Intrauterine Growth Retardation (PEDS)	Pregnancy_Complication
Late_Pregnancy_Bleeding	Late Pregnancy Bleeding (PEDS)	Pregnancy_Complication
Leakage_of_Amniotic_Fluid	Leakage of Amniotic Fluid (PEDS)	Pregnancy_Complication
Maternal_Fever	Maternal Fever (PEDS)	Pregnancy_Complication
Maternal_Hypotension	Maternal Hypotension (PEDS)	Pregnancy_Complication
Oligohydramnios	Oligohydramnios (PEDS)	Pregnancy_Complication
Placenta_Previa	Placenta Previa (PEDS)	Pregnancy_Complication
Premature_Separation_of_Placenta	Placental Abruption (PEDS)	Pregnancy_Complication
Polyhydramnios	Polyhydramnios (PEDS)	Pregnancy_Complication
Postpartum_Hemorrhage	Postpartum Hemorrhage (PEDS)	Pregnancy_Complication
Pregnancy_Associated_Hypertension	Pregnancy Induced Hypertension (PEDS+NRNT)	Pregnancy_Complication
Premature_Labor	Premature Labor (PEDS)	Pregnancy_Complication
Premature_Rupture_of_Membranes	Premature Rupture of Membranes (PEDS)	Pregnancy_Complication
Rh_Incompatibility	Rh Incompatibility (PEDS)	Pregnancy_Complication
Toxemia_of_Pregnancy	Toxemia (PEDS)	Pregnancy_Complication
Vaginal_Bleeding_during_Pregnancy	Vaginal Bleeding (PEDS)	Pregnancy_Complication
Change_in_Uterine_Shape	Change in Uterine Shape (PEDS)	Pregnancy_Finding
Early_Pregnancy_Symptom	Early Pregnancy Symptoms (PEDS)	Pregnancy_Finding
Enlarging_Abdomen	Enlarged Abdomen (PEDS+NRNT)	Pregnancy_Finding
Enlarged_Uterus	Enlarged Uterus (PEDS)	Pregnancy_Finding
First_Movement	First Movement (PEDS)	Pregnancy_Finding
High_Risk_Pregnancy	High Risk Pregnancy (PEDS)	Pregnancy_Finding
Labor_Pain	Labor Pain (PEDS)	Pregnancy_Finding
Last_Menstrual_Period	Last Menstrual Period (PEDS)	Pregnancy_Finding
Pregnancy_Mood_Swing	Mood Swing (PEDS)	Pregnancy_Finding
Multiple_Gestation	Multiple Gestation (PEDS)	Pregnancy_Finding
Negative_Pregnancy_Test	Negative Pregnancy Test (PEDS)	Pregnancy_Finding
Normal_Pregnancy	Normal Pregnancy (PEDS)	Pregnancy_Finding
Positive_Pregnancy_Test	Positive Pregnancy Test (PEDS)	Pregnancy_Finding
Signs_of_Impending_Birth	Signs of Impending Birth (PEDS)	Pregnancy_Finding
Pregnancy_Related_Skin_Change	Skin Changes (PEDS)	Pregnancy_Finding
Pregnancy_Stretch_Mark	Stretch Marks (PEDS)	Pregnancy_Finding
Uterine_Souffle	Uterine Souffle (PEDS)	Pregnancy_Finding
Weight_Gain	Weight Gain (PEDS)	Pregnancy_Finding
Abortion	Abortion (PEDS)	Pregnancy_Outcome
Conjoined_Twins	Conjoined Twins (NRNT)	Pregnancy_Outcome
Deceased_Sibling	Deceased Sibling (PEDS)	Pregnancy_Outcome
Multiple_Births	Multiple Birth (PEDS)	Pregnancy_Outcome
Natural_Birth	Natural Birth (PEDS)	Pregnancy_Outcome
Perinatal_Death	Perinatal Death (PEDS)	Pregnancy_Outcome
Preterm_Birth	Preterm Birth (PEDS)	Pregnancy_Outcome
Bacterial_Vaginosis_Screening	Bacterial Vaginosis Screen (PEDS)	Pregnancy_Related_Screening
Blood_Glucose_Measurement	Blood Glucose Measurement (PEDS+NRNT)	Pregnancy_Related_Screening
Blood_Type	Blood Type (PEDS)	Pregnancy_Related_Screening
Uterine_Contraction_Stress_Test	Contraction Stress Test (PEDS)	Pregnancy_Related_Screening
Fetal_Biophysical_Profile	Fetal Biophysical Profile (PEDS)	Pregnancy_Related_Screening
Fetal_Fibronectin_Test	Fetal Fibronectin Test (PEDS+NRNT)	Pregnancy_Related_Screening
Group_B_Streptococcus_Screening	Group B Streptococcus Screening (PEDS)	Pregnancy_Related_Screening
Hepatitis_B_Screening	Hepatitis B Screening (PEDS)	Pregnancy_Related_Screening
Prenatal_HIV_Screening	HIV Screening (PEDS)	Pregnancy_Related_Screening
Non-Stress_Test	Non-Stress Test (PEDS)	Pregnancy_Related_Screening
Risk_Factor_Assessment	Risk Factor Assessment (PEDS)	Pregnancy_Related_Screening
Varicella_Zoster_Virus_Screening	Screening for Chickenpox (PEDS)	Pregnancy_Related_Screening
Genetic_Screening	Screening for Genetic Defect (PEDS)	Pregnancy_Related_Screening
Rubella_Screening	Screening for Rubella (PEDS+NRNT)	Pregnancy_Related_Screening
Human_Chorionic_Gonadotropin_Measurement	Human Chorionic Gonadotropin Measurement (PEDS+NRNT)	Pregnancy_Test
Antepartum	Antepartum (PEDS)	Pregnancy_Time_Period
Gestational	Gestational (PEDS)	Pregnancy_Time_Period
Intrapartum	Intrapartum (PEDS)	Pregnancy_Time_Period
Postpartum	Postpartum (PEDS)	Pregnancy_Time_Period
Prenatal	Prenatal (PEDS)	Pregnancy_Time_Period
Trimester	Trimester (PEDS)	Pregnancy_Time_Period
Preterm_Premature_Rupture_of_Membranes	Preterm Premature Rupture of Membrane (PEDS)	Premature_Rupture_of_Membranes
Contraception	Contraception (PEDS)	Preventive_Intervention
Immunization	Immunization (PEDS)	Preventive_Intervention
Pap_Smear	Pap Smear (PEDS)	Preventive_Intervention
Rh_Immune_Globulin_Administration	Rh Immune Globulin Administration (PEDS)	Preventive_Intervention
Pregnancy_Related_Screening	Screening or Clinical Tests during Pregnancy (PEDS)	Preventive_Intervention
Sexually_Transmitted_Disease_Screening	Sexually Transmitted Disease Screening (PEDS)	Preventive_Intervention
Malignant_Eye_Neoplasm	Primary Malignant Neoplasm of Eye (NRNT)	Primary_Malignant_Neoplasm
Primary_Malignant_Neoplasm_of_Liver	Primary Malignant Neoplasm of Liver (NRNT)	Primary_Malignant_Neoplasm
Anesthesia_Procedure	Anesthesia Procedure (PEDS)	Procedure
Diagnostic_Procedure	Diagnostic Procedure (PEDS)	Procedure
Evaluation	Evaluation Procedure (PEDS+NRNT)	Procedure
Obstetric_Procedure	Obstetric Procedure (PEDS)	Procedure
Pediatric_Intervention_or_Procedure	Pediatric Intervention or Procedure (PEDS)	Procedure
Preventive_Intervention	Preventive Intervention (PEDS)	Procedure
Referral	Referral (PEDS)	Procedure
Surgical_Incision	Surgical Incision (PEDS)	Procedure
Surgical_Procedure	Surgical Procedure (PEDS)	Procedure
Techniques	Technique (PEDS)	Procedure
Therapeutic_Procedure	Therapeutic Procedure (PEDS)	Procedure
Characteristics	Characteristic (PEDS)	Properties_or_Attributes
Data_Value	Data Value (PEDS)	Properties_or_Attributes
Demographics	Demographics (PEDS)	Properties_or_Attributes
General_Modifier	General Qualifier (PEDS)	Properties_or_Attributes
Personal_Information	Personal Information (PEDS)	Properties_or_Attributes
